Vector (48)  is as follows

     |        1  |
------------------
   0 |300.939 
   1 |13.2045 
   2 |9.12708 
   3 |8.54582 
   4 |4.41259 
   5 |3.3174 
   6 |2.70463 
   7 |2.16747 
   8 |1.8463 
   9 |1.82304 
  10 |1.69448 
  11 |1.53323 
  12 |1.45901 
  13 |1.37844 
  14 |1.26372 
  15 |1.09415 
  16 |1.04825 
  17 |1.03688 
  18 |0.928221 
  19 |0.839259 
  20 |0.791744 
  21 |0.759507 
  22 |0.728648 
  23 |0.644791 
  24 |0.630118 
  25 |0.61158 
  26 |0.504933 
  27 |0.457038 
  28 |0.431199 
  29 |0.414707 
  30 |0.371243 
  31 |0.32489 
  32 |0.305661 
  33 |0.273763 
  34 |0.257178 
  35 |0.225023 
  36 |0.206967 
  37 |-0.199289 
  38 |0.159996 
  39 |0.108929 
  40 |0.0951177 
  41 |-0.0949828 
  42 |-0.0571356 
  43 |0.0540121 
  44 |0.0441474 
  45 |-0.0263611 
  46 |0.00472912 
  47 |-0.00391006 

 
EigenVectors are 

48x48 matrix is as follows

     |       0    |       1    |       2    |       3    |       4    |
----------------------------------------------------------------------
   0 |    0.05081    -0.06558     0.01453      0.1217      0.1694 
   1 |    0.05888     -0.0918    -0.04518     0.07856     0.07719 
   2 |    0.06564    -0.09266     0.03731     0.05482      0.1852 
   3 |    0.07146    -0.07763     0.02453      0.1548     0.08387 
   4 |    0.07706    -0.09339    -0.03155      0.1328    -0.01961 
   5 |    0.08637     -0.1147   7.537e-05      0.1332     0.08987 
   6 |    0.09528     -0.1297     0.01765      0.1526      0.1112 
   7 |     0.1065     -0.1419     0.02515      0.1931      0.1442 
   8 |       0.12     -0.1416    -0.01222      0.2465      0.1297 
   9 |     0.1303     -0.1599    -0.06606      0.2233     0.06791 
  10 |     0.1401     -0.1718     -0.1108      0.2014     0.06357 
  11 |     0.1464     -0.1833     -0.1315      0.1623     0.07799 
  12 |     0.1548     -0.1772     -0.1428      0.1171     0.05847 
  13 |      0.164     -0.1805     -0.1373     0.08479     0.00925 
  14 |     0.1711     -0.1896     -0.1436     0.03141    -0.02358 
  15 |     0.1738      -0.179      -0.146     -0.0211    -0.09555 
  16 |     0.1776     -0.1641     -0.1308     -0.0839     -0.1379 
  17 |     0.1788     -0.1473     -0.1003      -0.119     -0.1635 
  18 |     0.1867     -0.1464     -0.0637     -0.1629     -0.1568 
  19 |     0.1926    -0.08329     0.06076     -0.2057      -0.102 
  20 |     0.1916     -0.1075    0.003778     -0.2145     -0.1779 
  21 |     0.1939    -0.08011     0.04296     -0.2248     -0.1433 
  22 |     0.1932    -0.06338     0.08785     -0.2467    -0.09237 
  23 |     0.1928    -0.08594     0.05669     -0.2023    -0.09052 
  24 |     0.1952  -8.207e-05      0.1839      -0.183     0.05418 
  25 |     0.1932        0.03      0.2205     -0.1332      0.1151 
  26 |     0.1908     0.06259      0.2285    -0.09596      0.1362 
  27 |     0.1881     0.07913      0.2312    -0.04727      0.1106 
  28 |      0.186     0.09871      0.2325   -0.004801      0.1351 
  29 |     0.1813      0.1241      0.2185     0.04253       0.111 
  30 |     0.1753      0.1465      0.2093      0.1061     0.09435 
  31 |     0.1725       0.156      0.1864      0.1422     0.04418 
  32 |     0.1696      0.1755       0.142      0.1975    -0.03136 
  33 |     0.1651      0.2113      0.0684       0.198     -0.1221 
  34 |     0.1572      0.2058    -0.01624      0.1908     -0.2043 
  35 |     0.1461      0.2147    -0.06946       0.174     -0.2363 
  36 |     0.1399      0.2394     -0.1405      0.1398     -0.2247 
  37 |      0.131      0.2296     -0.1895     0.08315      -0.188 
  38 |     0.1226      0.2141     -0.2193     0.01327     -0.1117 
  39 |      0.111      0.1957     -0.2244    -0.05476    -0.01433 
  40 |    0.09852      0.1912     -0.2045    -0.07095      0.1218 
  41 |    0.08793      0.1744     -0.2305     -0.0636       0.174 
  42 |    0.07991      0.1492     -0.2529    -0.09903       0.193 
  43 |    0.07286      0.1201     -0.2354     -0.1343      0.2544 
  44 |    0.06626      0.1016     -0.1948       -0.15      0.3129 
  45 |    0.06032      0.0805     -0.1408     -0.1442      0.2997 
  46 |     0.0539     0.06358    -0.07674     -0.1152      0.2013 
  47 |    0.04685     0.04706    -0.01637     -0.0617      0.1111 


     |       5    |       6    |       7    |       8    |       9    |
----------------------------------------------------------------------
   0 |   -0.07725     -0.1775      0.1098    -0.03212    -0.04124 
   1 |    -0.1643     -0.1134      0.1117     0.04721     0.01355 
   2 |    -0.1364     0.05336     0.01886     0.05805     0.02847 
   3 |     0.0529    -0.05302     0.05079   -0.009389   -0.003595 
   4 |    -0.1365    -0.04323      0.1254     -0.1118    -0.06802 
   5 |    -0.1912    0.007142     0.03592     -0.1288      -0.123 
   6 |    -0.1898    -0.03085     0.07287     -0.1005    -0.08213 
   7 |    -0.1788     0.01313    0.008133     -0.1156    -0.08982 
   8 |   -0.07794    -0.04757    -0.01791     -0.0103    -0.07189 
   9 |   -0.07339    -0.05863     0.04408    -0.06267    -0.04686 
  10 |    -0.1254  -0.0006013    -0.03301     0.01223     0.06225 
  11 |     -0.102     0.08897    -0.09668      0.1279     0.06406 
  12 |    0.02539      0.1583    -0.03374      0.2305      0.1215 
  13 |      0.179      0.1934     -0.1667      0.1734      0.1897 
  14 |     0.3149      0.1386     -0.1081      0.1078     0.03294 
  15 |     0.3527     0.05074    -0.04306     -0.1601     0.07205 
  16 |     0.2798    -0.03452     0.06901     0.05414     -0.1461 
  17 |      0.208     -0.1057      0.1522     -0.1889     0.02815 
  18 |    0.08747     -0.0938      0.2006     -0.3603    0.009715 
  19 |    -0.1238    -0.04377    -0.03406       0.144    -0.03579 
  20 |     -0.157      -0.146    -0.07915    -0.08476     -0.0773 
  21 |    -0.2382      -0.227     -0.1758    -0.07618    -0.03972 
  22 |     -0.257     -0.1426     -0.2876       0.195    0.003796 
  23 |     -0.128    -0.05437    -0.02357      0.1501    -0.02277 
  24 |     -0.025      0.2037      0.1986      0.3531     -0.2042 
  25 |    0.03199      0.3223      0.3911      0.1049     -0.1351 
  26 |   0.005483      0.2506      0.2655     -0.1512      0.0695 
  27 |    0.01593      0.1251   -0.004164     -0.3088      0.2298 
  28 |   0.009724       0.103    -0.09308     -0.1706      0.1644 
  29 |    0.07602    -0.02321     -0.3435     -0.2741       0.185 
  30 |      0.141    -0.03939     -0.2319      0.2247     -0.1531 
  31 |     0.1425     -0.1429     -0.1832     0.01839    0.006822 
  32 |     0.1936     -0.2096     -0.0857     0.07379     -0.1923 
  33 |     0.1477     -0.1865      0.1286       0.113     -0.2411 
  34 |    0.02532     -0.2211      0.2279    -0.01327     0.01495 
  35 |    -0.1044     -0.0814      0.1536     0.09255      0.2604 
  36 |    -0.1279      0.1082      0.1049     0.04223     0.08544 
  37 |    -0.1435      0.1418     0.03777     0.01382     0.07169 
  38 |    -0.1673      0.2105    -0.05023    -0.03974     0.08334 
  39 |    -0.1455      0.2391     -0.1135     -0.1088    -0.02799 
  40 |   -0.04238      0.1704     -0.1905    -0.02725     -0.1569 
  41 |    0.07977      0.0329    -0.08245    -0.07274     -0.1817 
  42 |    0.05471    -0.03544    -0.05989    -0.08653     -0.1869 
  43 |    0.01103     -0.1393     0.05892    -0.05899     -0.1965 
  44 |    0.01932     -0.1623     0.07675      0.0179     -0.0118 
  45 |     0.0422     -0.2189      0.1119     0.07765      0.1703 
  46 |    0.00807     -0.2506      0.1744      0.1434      0.3558 
  47 |    0.04307     -0.1323     0.04657      0.2047      0.4316 


     |      10    |      11    |      12    |      13    |      14    |
----------------------------------------------------------------------
   0 |  0.0006015     0.01999     0.04456     0.05214     0.05923 
   1 |    0.02982    -0.00827     0.01451    0.008829    -0.02554 
   2 |   -0.06743     0.03005    -0.05287    -0.01331    -0.03268 
   3 |   -0.08387     0.00888     -0.1168     0.05654     -0.1422 
   4 |    0.00957      -0.119  -0.0007825     0.03266     -0.1464 
   5 |   -0.01126     -0.1145    -0.04131      0.1155    -0.05731 
   6 |    0.05636    -0.05714     0.01731     0.09181     -0.1117 
   7 |    -0.0988     -0.1429    -0.03299     0.09046     -0.0728 
   8 |    0.03694     0.04167  -0.0005355      0.1879     0.04311 
   9 |    0.07305    -0.08865    -0.04125    0.002252     0.07786 
  10 |    0.05928    -0.03454      0.1517     -0.1619     0.08091 
  11 |   -0.04678      0.1112      0.1748     -0.1076       0.288 
  12 |     0.1094       0.165    -0.05626     -0.4201     0.03884 
  13 |    0.07265      0.4019    -0.08629      0.2335     -0.1607 
  14 |    -0.3042     -0.1128      -0.227    -0.00936    -0.01422 
  15 |    -0.0319    -0.08263    -0.01868   -0.008384     0.05405 
  16 |    0.03812     -0.2691     -0.1054     0.05164     -0.2775 
  17 |    -0.1275    -0.09342      0.4792      0.2033      0.0387 
  18 |     0.3742     0.04668    -0.07851     -0.1276      0.1548 
  19 |     -0.022    -0.01757      0.1696     0.01424     -0.1597 
